Id,Country,County,City,Name,Latitude,Longitude,Rating,UserRatingsTotal,OneStar,TwoStar,ThreeStar,FourStar,FiveStar,Mountains,Hills,Plains,Plateaus,Valleys,GlacialFields,Deltas,Canyons,Beaches,NatureSpots, StunningViews,Lakes,Parks,IconicCities,Farms,Castles,HistoricalHomes ,BoatRides,LakefrontAreas,SwimmingAreas,Caves,Playgrounds
107,Romania,Tulcea,Sulina,Sulina Beach Camping,45.147313,29.6744092,4.8,76,0,0,1,13,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
112,Romania,Tulcea,Sulina,Faleză Sulina,45.15638349999999,29.65730209999999,4.5,455,0,4,33,149,269,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,Romania,Tulcea,No data,Turn observatie,45.1668925,29.6775692,4.7,3,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,Romania,Tulcea,Sulina,Cosmopolitan Cemetery Sulina,45.1507128,29.6704996,4.4,55,0,1,5,20,29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,Romania,Tulcea,Sulina,The Easternmost Point of Romania,45.16343860000001,29.7233056,4.9,16,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
119,Romania,Tulcea,Nufăru,Plajă Nufaru,45.1523303,28.9225451,5.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,Romania,Tulcea,Tudor Vladimirescu,Camping Danubius,45.1904686,28.8032556,5.0,16,0,0,0,0,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,Romania,Constanța,Constanța,"Mamaia beach, Constanta Romania",44.2412023,28.62500369999999,4.1,103,0,4,18,42,38,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
128,Romania,Tulcea,Gura Portiței,Plaja Gura Portitei,44.6862555,29.0005646,4.4,118,0,2,12,42,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
130,Romania,Constanța,Mihai Viteazu,Plaja Periboina,44.6107242,28.9294191,5.0,5,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,Romania,Constanța,Mangalia,Cabinet Veterinar,43.8083021,28.5797207,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Romania,Constanța,Mangalia,Adapost Animale,43.82967379999999,28.57496189999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
140,Romania,Ilfov,București,Clinică veterinară,44.3861959,26.1662728,3.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,Romania,Constanța,Mangalia,Cabinet veterinar,43.81485039999999,28.5726222,4.4,36,0,0,4,13,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,Romania,Constanța,Mangalia,Cabinet Medical Veterinar Dr Daicu Florin,43.81602849999999,28.5661879,4.8,145,0,0,2,25,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
143,Romania,Constanța,Mangalia,Inovet,43.8199193,28.582622,4.2,5,0,0,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,Romania,Constanța,Constanța,Mega Vet & Pet,44.2023713,28.6357737,4.8,279,0,0,4,47,227,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,Romania,Constanța,Constanța,PRO VET Cabinet Veterinar / PETSHOP,44.1550011,28.6287214,4.7,138,0,0,4,32,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
146,Romania,Constanța,Constanța,Wave Veterinary,44.1723484,28.6387847,4.8,100,0,0,1,17,82,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
147,Romania,Constanța,Constanța,Clinica Veterinara Tom Vet,44.1860195,28.6339937,4.7,291,0,1,9,68,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
148,Romania,Constanța,Constanța,Premium Vet,44.1774385,28.6385455,4.9,71,0,0,0,7,64,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
149,Romania,Constanța,Constanța,My Cats & Sunquest Vet Constanța,44.1965323,28.6481169,4.3,301,0,6,38,115,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
150,Romania,Constanța,Constanța,Magivet,44.1762996,28.6432091,4.6,201,0,1,10,58,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
151,Romania,Constanța,Constanța,Pet Center,44.1930742,28.6389373,4.3,49,0,1,6,19,23,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
152,Romania,Constanța,Constanța,Top Vet S.R.L.,44.1793904,28.6417112,4.8,173,0,0,2,29,141,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
153,Romania,Constanța,Constanța,Vetwell Med,44.1701802,28.6017357,4.5,146,0,1,11,48,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
154,Romania,Constanța,Tuzla,CMV DR.BRATULESCU VLAD MIHAI,43.9986121,28.6332394,4.6,59,0,0,3,17,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
155,Romania,Constanța,Topraisar,Vet Suport Dobrogea SRL,44.0196528,28.4599107,4.6,44,0,0,2,13,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
156,Romania,Constanța,Constanța,Help Vet,44.2004003,28.6295023,4.3,120,0,2,15,46,56,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,Romania,Constanța,Cumpăna,Cabinet Veterinar MagiVet,44.1126706,28.5551513,4.6,111,0,0,6,32,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
158,Romania,Constanța,Constanța,Mustang Vet,44.17493469999999,28.6124579,4.9,46,0,0,0,4,42,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
159,Romania,Constanța,Constanța,Quick Vet,44.1527396,28.6203735,4.3,102,0,2,13,39,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
160,Romania,Alba,Alba Iulia,K9 Univet,46.0755731,23.5759549,4.9,52,0,0,0,5,47,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
161,Romania,Alba,Alba Iulia,cornea clinic vet,46.071459,23.5630135,4.9,38,0,0,0,4,34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,Romania,Alba,Micești,Cabinet Veterinaria Pet Help,46.1028366,23.5485305,5.0,47,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
163,Romania,Alba,Alba Iulia,Cabinet Veterinar Family Vet Plus,46.07233099999999,23.561954,4.8,120,0,0,2,20,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
164,Romania,Alba,Alba Iulia,canisvet,46.0813674,23.5615406,4.5,26,0,0,2,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
165,Romania,Alba,Alba Iulia,Dr. Horvat Ioan Emilian,46.07254890000001,23.5778514,4.9,23,0,0,0,2,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
166,Romania,Alba,Alba Iulia,Veterinary Practice Dr Mehnert Ingrid,46.0705125,23.5648816,4.5,136,0,1,10,45,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
167,Romania,Alba,Alba Iulia,Cmv filimon dorin,46.07017889999999,23.5623443,4.7,27,0,0,1,6,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,Romania,Alba,Alba Iulia,Canis Vet,46.0755858,23.5581747,5.0,7,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,Romania,Alba,Alba Iulia,Farmacie Veterinară Furaje Canis Vet,46.07692139999999,23.5601538,4.3,27,0,1,3,10,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,Romania,Alba,Alba Iulia,Alba Vet S.A.,46.0680509,23.555049,4.0,28,0,1,6,11,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
171,Romania,Alba,Ciugud,Gaudeo Vet,46.0518762,23.6171398,5.0,12,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,Romania,Alba,Alba Iulia,Cabinet Veterinar Dr. Roman Sergiu,46.0869116,23.5878626,4.9,14,0,0,0,1,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,Romania,Alba,Sebeș,Clinica veterinara Dr.Bucea,45.94215639999999,23.5638798,4.8,61,0,0,1,10,50,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
174,Romania,Alba,Alba Iulia,cabinet veterinar vet grup,46.0617082,23.5780548,4.5,17,0,0,1,6,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,Romania,Alba,Alba Iulia,Pet Shop,46.0739641,23.5803568,5.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
176,Romania,Alba County,Teiuș,NERO VET,46.20653050000001,23.675929,4.8,30,0,0,0,5,24,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
177,Romania,Alba,Vințu de Jos,Veterinary offices Dr.Sibisan Nicholas,45.9938854,23.48214110000001,4.9,16,0,0,0,1,14,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,Romania,Alba,Alba Iulia,Cabinet Veterinar Roman HelpVet,46.0870873,23.5880051,5.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
179,Romania,Alba County,Alba Iulia,FarmaVet,46.0754813,23.5792604,4.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,Romania,Alba,Alba Iulia,MAG VET,46.08248589999999,23.5792595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
181,Romania,Arad,Arad,Clinica de Animale Mici,46.1748718,21.3065374,4.7,80,0,0,2,19,59,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,Romania,Arad,Arad,Moisa Adrian,46.1794945,21.3262904,4.7,218,0,0,7,51,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
183,Romania,Arad,Arad,Farmacie Veterinară Vetagrica SRL,46.1783976,21.3168544,4.9,9,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
184,Romania,Arad,Arad,CLINICA VETERINARA PLAYDOG,46.181777,21.300592,4.6,336,0,1,17,96,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
185,Romania,Arad,Arad,Vaterinarian,46.19672749999999,21.3033463,5.0,79,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
186,Romania,Arad,Arad,Genesis Clinica Veterinara,46.1982211,21.2916348,4.6,214,0,1,11,61,141,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,Romania,Arad,Arad,Cabinet veterinar rainbow vet arad,46.15485950000001,21.3128442,4.9,63,0,0,0,6,57,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,Romania,Arad,Arad,URGENTE VETERINAR ALIN,46.18102289999999,21.3331554,4.7,133,0,0,4,31,98,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,Romania,Arad,Vladimirescu,Rural&Pet Consult S.R.L.,46.1612719,21.4069757,4.8,116,0,0,2,20,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
190,Romania,Arad,Arad,VetPoint Vest,46.1799717,21.3463037,4.8,191,0,0,3,32,156,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,Romania,Arad,Arad,Cabinet veterinar AtoGold House Vet,46.2008993,21.2994502,4.9,58,0,0,0,5,52,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
192,Romania,Arad,Arad,Cabinet veterinar Arad,46.2016258,21.2926764,4.7,117,0,0,3,27,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
193,Romania,Arad,Arad,Giu The Vet // Vet Office,46.171991,21.3527304,5.0,20,0,0,0,0,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,Romania,Arad,Arad,Cabinet Veterinar Arad - Kemy Vet,46.1699912,21.2923628,4.6,31,0,0,2,9,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,Romania,Arad,Arad,Cabinet medical veterinar dr. Iosim Claudiu,46.1692483,21.3046695,4.7,61,0,0,2,14,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
196,Romania,Arad,Arad,Bioanima S.R.L.,46.1748718,21.3065374,4.3,6,0,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
197,Romania,Arad,Pecica,Centrul de colectare animale de companie PETS TRACES srl - Pecica,46.1753766,21.1078752,4.5,28,0,0,2,9,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
198,Romania,Arad,Arad,Dr. Pop Veterinary Practice,46.1980113,21.3371367,5.0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
199,Romania,Arad,Arad,Andreluc Veterinary,46.1939491,21.3331471,5.0,31,0,0,0,0,31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,Romania,Arad,Arad,S.C Optim Veterinaria S.R.L.,46.141346,21.3376715,5.0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
202,Romania,Argeș,Pitești,Gemma Animal Care - Cabinet Veterinar,44.859768,24.868111,4.1,84,0,3,15,34,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,Romania,Argeș,Pitești,Cabinet Veterinar Doctor Horia,44.8544259,24.8601778,4.9,48,0,0,0,4,43,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
204,Romania,Argeș,Pitești,Animals Help Center,44.84451019999999,24.889587,4.5,175,0,1,13,57,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
205,Romania,Argeș,Pitești,Discovery Vet,44.85056209999999,24.8524546,4.7,225,0,0,7,53,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
206,Romania,Argeș,Pitești,Cabinet si Farmacie veterinara Dr.Visinescu AMIVET,44.85637639999999,24.8805571,4.6,71,0,0,4,20,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
207,Romania,Argeș,"Pitești, strada Exercitiu PD6",Premium Vet Center Cabinet si Farmacie Veterinara Pitesti,44.8482902,24.874216,4.8,21,0,0,0,4,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
208,Romania,Argeș,Pitești,Cabinet Veterinar Dr. Stefanescu,44.8556468,24.8658316,4.8,611,0,0,9,104,498,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,Romania,Argeș,Pitești,"Premium Pharma Vet - Veterinar Pitesti. Chirurgie Veterinara, Analize, Vaccinari, Microcipari Animale, Grooming Pitesti",44.8497196,24.8813837,5.0,58,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
210,Romania,Argeș,Pitești,MeryVET,44.8698441,24.851549,4.6,282,0,1,14,81,186,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
211,Romania,Argeș,Pitești,Clinica Dr Labus & Miaunel,44.8397119,24.885498,4.4,204,0,3,20,73,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
212,Romania,Argeș,Pitești,Quiz Vet Rx,44.86137780000001,24.8799761,4.7,15,0,0,0,4,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,Romania,Argeș,Pitești,Cabinet si Farmacie veterinara Pitesti Nord,44.8698989,24.85501829999999,5.0,114,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
214,Romania,Argeș,Pitești,Farmacie Veterinara Radu VET ANIMAL,44.868053,24.8474579,4.2,43,0,1,7,17,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
216,Romania,Argeș,Pitești,Spital Veterinar Municipal PrimaVet Pitești - AG,44.827422,24.91336799999999,4.3,21,0,0,3,8,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,Romania,Argeș,Pitești,Cabinet Veterinar Ecco-Vet,44.8476844,24.8792866,4.8,58,0,0,1,10,47,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
218,Romania,Argeș,Valea Mare-Podgoria,Cabinet Medical Veterinary Dr. Lucia Manole,44.8744495,24.9050423,4.4,118,0,2,12,42,62,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
219,Romania,Argeș,Pitești,AMBULANTA VETERINARA - PRO LIFE VET - VETERINAR PITESTI,44.8459799,24.8844098,3.8,42,1,3,11,17,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
220,Romania,Argeș,Pitești,ANAVET PRAXIS SRL,44.8556468,24.8658316,4.4,5,0,0,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
221,Romania,Argeș,Pitești,VET CONSULT MED SRL,44.8505255,24.8558744,4.7,25,0,0,1,6,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
222,Romania,Bacău,Bacău,Arena Vet Clinic,46.5788814,26.9133409,4.6,134,0,1,7,38,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
223,Romania,Bacău,Bacău,Amon Vet Care,46.57476330000001,26.9125747,4.9,211,0,0,1,19,191,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
224,Romania,Bacău,Bacău,SAL-VET SERVICII VETERINARE,46.58200100000001,26.90676999999999,4.9,287,0,0,1,26,259,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,Romania,Bacău,Bacău,Mara-Pet S.R.L.,46.5701482,26.9057098,4.6,31,0,0,2,9,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,Romania,Bacău,Bacău,My Vet Clinica Veterinara,46.566847,26.903664,4.4,171,0,2,17,62,90,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,Romania,Bacău,Bacău,Terra Vet,46.56884910000001,26.9204565,5.0,76,0,0,0,0,76,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,Romania,Bacău,Bacău,Provet Clinica Veterinara,46.58764849999999,26.9125221,4.5,73,0,1,5,24,43,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,Romania,Bacău,Bacău,Cabinet Doctor Silviu Dumitrescu,46.5711833,26.9150472,4.8,315,0,0,4,54,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
230,Romania,Bacău,Bacău,OLIVER-VET,46.5374372,26.9197497,4.8,27,0,0,0,5,22,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
231,Romania,Bacău,Bacău,Clinica Veterinara Provet Bacau,46.5637565,26.91727569999999,4.0,13,0,1,3,5,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
232,Romania,Bacău,Bacău,Clinica veterinara DR. VELISAR,46.54606270000001,26.9180452,4.7,319,0,1,10,75,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
233,Romania,Bacău,Bacău,Farmacie si cabinet veterinar Energiei25 Bacau,46.56817789999999,26.9015049,4.5,116,0,1,8,38,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
234,Romania,Bacău,Bacău,Farmacie veterinară,46.56871049999999,26.9124747,4.5,15,0,0,1,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
235,Romania,Bacău,Chetriș,CABINET VETERINAR DR. VIDENIE VALI CATALIN,46.4686253,26.9917241,5.0,34,0,0,0,0,34,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,Romania,Bacău,Letea Veche,DIAC Cecilia,46.5554074,26.9438798,4.6,19,0,0,1,5,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
237,Romania,Bacău,Coțofănești,Medic veterinar Robert Baltag,46.1504351,26.9907525,5.0,48,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
238,Romania,Bacău,Bacău,Farmacie Veterinară Lavidan,46.57403,26.91371,3.6,9,0,1,3,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,Romania,Bacău,Nicolae Bălcescu,CABINET MEDICAL VETERINAR - NICOLAE BALCESCU,46.4821785,26.9160594,5.0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
240,Romania,Bacău,Parter,Farmacia Veterinara Orizont,46.5509777,26.9137288,4.4,49,0,1,5,18,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,Romania,Bacău,Bacău,IONA FARMIVET,46.5829905,26.9101758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
242,Romania,Bacău,Hemeiuș,Dr. Benea Micela,46.62292679999999,26.850653,5.0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
243,Romania,Bacău,Bacău,Phylaxia Pharmarom,46.5797041,26.8705757,5.0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
244,Romania,Bihor,Oradea,PetVet Oradea,47.0503969,21.905549,4.9,77,0,0,0,7,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
245,Romania,Bihor,Oradea,Happy Pets Clinic,47.02529299999999,21.9235932,4.7,62,0,0,2,15,46,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,Romania,Bihor,Oradea,Dr. Dog,47.0645833,21.9243707,4.7,72,0,0,2,17,53,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
247,Romania,Bihor,Oradea,Stomano,47.0600455,21.9274339,4.8,48,0,0,1,8,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
248,Romania,Bihor,Oradea,Physio Vet,47.0470713,21.9311407,4.8,42,0,0,1,7,34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
249,Romania,Bihor,Oradea,Cabinet Veterinar Chicopet,47.0575596,21.907037,4.4,36,0,0,4,13,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
250,Romania,Bihor,Oradea,Vet Clinic Oradea,47.0520621,21.9692334,4.8,273,0,0,4,46,223,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
